concept_code,concept_name,display_name_en,display_name_fr,effective_date,concept_status
8591000087100,Acellular pertussis antigen low dose (substance),Acellular pertussis antigen low dose,antigène coquelucheux acellulaire dose réduite,20161031,Active
8601000087108,Acellular pertussis antigen standard dose (substance),Acellular pertussis antigen standard dose,antigène coquelucheux acellulaire dose standard,20161031,Active
713610005,Antigen of Acellular pertussis (substance),Acellular pertussis antigen,antigène coquelucheux acellulaire,20161031,Active
718280005,Antigen of Bacillus Calmette-Guerin (substance),Bacillus Calmette-Guerin antigen,antigène de Mycobacterium tuberculosis,20161031,Active
709348007,Antigen of Human papillomavirus 11 (substance),"Human papillomavirus, type 11 antigen",antigène du virus du papillome humain de type 11,20161031,Active
709358006,Antigen of Human papillomavirus 6 (substance),"Human papillomavirus, type 6 antigen",antigène du virus du papillome humain de type 6,20161031,Active
713620000,Antigen of live Poliovirus (substance),Live poliomyelitis antigen,antigène de la polio vivant,20161031,Active
715978009,Antigen of Neisseria meningitidis conjugate (substance),Meningococcal conjugate antigen,antigène du méningocoque conjugué,20161031,Active
716265005,Antigen of Neisseria meningitidis group A conjugate (substance),Meningococcal conjugate group A antigen,antigène du méningocoque conjugué du sérogroupe A,20161031,Active
716269004,Antigen of Neisseria meningitidis group A polysaccharide (substance),Meningococcal polysaccharide group A antigen,antigène polysaccharidique du méningocoque du sérogroupe A,20161031,Active
716266006,Antigen of Neisseria meningitidis group C conjugate (substance),Meningococcal conjugate group C antigen,antigène du méningocoque conjugué du sérogroupe C,20161031,Active
716270003,Antigen of Neisseria meningitidis group C polysaccharide (substance),Meningococcal polysaccharide group C antigen,antigène polysaccharidique du méningocoque du sérogroupe C,20161031,Active
716267002,Antigen of Neisseria meningitidis group Y conjugate (substance),Meningococcal conjugate group Y antigen,antigène du méningocoque conjugué du sérogroupe Y,20161031,Active
716271004,Antigen of Neisseria meningitidis group Y polysaccharide (substance),Meningococcal polysaccharide group Y antigen,antigène polysaccharidique du méningocoque du sérogroupe Y,20161031,Active
715979001,Antigen of Neisseria meningitidis polysaccharide (substance),Meningococcal polysaccharide antigen,antigène polysaccharidique du méningocoque,20161031,Active
716268007,Antigen of Neisseria meningitidis W135 conjugate (substance),Meningococcal conjugate group W-135 antigen,antigène du méningocoque conjugué du sérogroupe W-135,20161031,Active
716272006,Antigen of Neisseria meningitidis W135 polysaccharide (substance),Meningococcal polysaccharide group W-135 antigen,antigène polysaccharidique du méningocoque du sérogroupe W-135,20161031,Active
713628007,Antigen of Rotavirus G1 P8 serotype (substance),Rota G1 (P8) serotype antigen,antigène du sérotype Rota G1 (P8),20161031,Active
713622008,Antigen of Rotavirus G1 serotype (substance),Rota G1 serotype antigen,antigène du sérotype Rota G1,20161031,Active
714077009,Antigen of Rotavirus G2 serotype (substance),Rota G2 serotype antigen,antigène du sérotype Rota G2,20161031,Active
713621001,Antigen of Rotavirus G3 serotype (substance),Rota G3 serotype antigen,antigène du sérotype Rota G3,20161031,Active
713640007,Antigen of Rotavirus G4 serotype (substance),Rota G4 serotype antigen,antigène du sérotype Rota G4,20161031,Active
713619006,Antigen of Rotavirus P1A8 serotype (substance),Rota P1A (8) serotype antigen,antigène du sérotype Rota P1A (8),20161031,Active
714078004,Antigen of Streptococcus pneumoniae conjugate (substance),Pneumococcal conjugate antigen,antigène du pneumocoque conjugué,20161031,Active
713631008,Antigen of Variola virus (substance),Smallpox antigen,antigène de la variole,20161031,Active
709157005,Antigen of Vibrio cholerae toxin (substance),Cholera antigen,antigène du choléra,20161031,Active
714076000,Antigen of whole cell pertussis (substance),Whole cell pertussis antigen,antigène coquelucheux à germes entiers,20161031,Active
713629004,Antigen of Yellow fever virus (substance),Yellow fever antigen,antigène du virus de la fièvre jaune,20161031,Active
709155002,Antigen of Yersinia pestis (substance),Plague antigen,antigène de la peste,20161031,Active
713618003,Antigen to Hepatitis A virus (substance),Hepatitis A antigen,antigène de l'hépatite A,20161031,Active
713641006,Antigen to Lyme borreliosis (substance),Lyme antigen,antigène de la maladie de Lyme,20161031,Active
713616004,Antigen to Poliovirus (substance),Poliomyelitis antigen,antigène de poliovirus,20161031,Active
409629009,Bacillus anthracis antigen (substance),Anthrax antigen,antigène du charbon,20161031,Active
121074009,Bordetella pertussis antigen (substance),Pertussis antigen,antigène coquelucheux,20161031,Active
396417009,Diphtheria toxoid (substance),Diphtheria toxoid,anatoxine diphtérique,20161031,Active
