concept_code,concept_name,display_name_en,display_name_fr,effective_date,concept_status
398102009,Acute poliomyelitis (disorder),Poliomyelitis,poliomyélite,20161031,Active
409498004,Anthrax (disorder),Anthrax,maladie du charbon,20161031,Active
63650001,Cholera (disorder),Cholera,choléra,20161031,Active
28944009,Cytomegalovirus infection (disorder),Cytomegalovirus disease,infection à cytomégalovirus,20161031,Active
397428000,Diphtheria (disorder),Diphtheria,diphtérie,20161031,Active
712986001,Encephalitis caused by tick-borne encephalitis virus (disorder),Tickborne encephalitis,encéphalite à tiques,20161031,Active
186150001,Enteritis caused by rotavirus (disorder),Rotavirus enteritis,gastro-entérite à rotavirus,20161031,Active
398523009,Foodborne botulism (disorder),Foodborne botulism,botulisme d'origine alimentaire,20161031,Active
4740000,Herpes zoster (disorder),Shingles,zona,20161031,Active
240532009,Human papillomavirus infection (disorder),Human papilloma virus infection,infection par le virus du papillome humain,20161031,Active
6142004,Influenza (disorder),Influenza,influenza,20161031,Active
406583002,Invasive hemophilus influenzae disease (disorder),"Haemophilus influenzae infection, invasive",infection invasive à Haemophilus influenzae,20161031,Active
52947006,Japanese encephalitis virus disease (disorder),"Encephalitis, Japanese",encéphalite japonaise,20161031,Active
23502006,Lyme disease (disorder),Lyme disease,maladie de Lyme,20161031,Active
14189004,Measles (disorder),Measles,rougeole,20161031,Active
23511006,Meningococcal infectious disease (disorder),Meningococcal disease,maladie infectieuse à méningocoques,20161031,Active
36989005,Mumps (disorder),Mumps,oreillons,20161031,Active
27836007,Pertussis (disorder),Pertussis,coqueluche,20161031,Active
58750007,Plague (disorder),Plague,peste,20161031,Active
16814004,Pneumococcal infectious disease (disorder),Pneumococcal disease,maladie infectieuse à pneumocoques,20161031,Active
14168008,Rabies (disorder),Rabies,rage,20161031,Active
36653000,Rubella (disorder),Rubella,rubéole,20161031,Active
67924001,Smallpox (disorder),Smallpox,variole,20161031,Active
76902006,Tetanus (disorder),Tetanus,tétanos,20161031,Active
11840006,Traveler's diarrhea (disorder),Traveler's diarrhea,diarrhée du voyageur,20161031,Active
56717001,Tuberculosis (disorder),Tuberculosis,tuberculose,20161031,Active
4834000,Typhoid fever (disorder),Typhoid fever,fièvre typhoïde,20161031,Active
38907003,Varicella (disorder),Varicella,varicelle,20161031,Active
66071002,Viral hepatitis type B (disorder),Hepatitis B,hépatite B,20161031,Active
40468003,"Viral hepatitis, type A (disorder)",Hepatitis A,hépatite A,20161031,Active
16541001,Yellow fever (disorder),Yellow fever,fièvre jaune,20161031,Active
8761000087100,Tick-borne encephalitis (disorder),Tickborne encephalitis,Encéphalite à tiques,20170430,Not Active
